IPC Code,Description
B31C,"MAKING WOUND ARTICLES, e.g. WOUND TUBES, OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER"
B31D,"MAKING ARTICLES OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER, NOT PROVIDED FOR IN SUBCLASSES B31B OR B31C (manufacture by dry processes of articles made from particles or fibres consisting of wood or other lignocellulosic or like organic material B27N ; making layered products not composed wholly of paper or cardboard B32B ; making articles from cellulosic fibrous suspensions, e.g. wood pulp, D21J )"
B31F,"MECHANICAL WORKING OR DEFORMATION OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER (making layered products not composed wholly of paper or cardboard B32B )"
B32B,"LAYERED PRODUCTS , i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM"
B33Y,"ADDITIVE MANUFACTURING, i.e. MANUFACTURING OF THREE-DIMENSIONAL [3D] OBJECTS BY ADDITIVE DEPOSITION, ADDITIVE AGGLOMERATION OR ADDITIVE LAYERING, e.g. BY 3D PRINTING , STEREOLITHOGRAPHY OR SELECTIVE LASER SINTERING [2015.01]"
B41B,"MACHINES OR ACCESSORIES FOR MAKING, SETTING, OR DISTRIBUTING TYPE; TYPE; PHOTOGRAPHIC OR PHOTOELECTRONIC COMPOSING DEVICES (photographic devices in general G03 )"
B41C,PROCESSES FOR THE MANUFACTURE OR REPRODUCTION OF PRINTING SURFACES (photomechanical processes for producing printing surfaces G03F ; photoelectrical processes for producing printing surfaces G03G )
B41F,PRINTING MACHINES OR PRESSES (manifolding devices or office printing machines B41L ) [4]
B41G,"APPARATUS FOR BRONZE PRINTING, LINE PRINTING, OR FOR BORDERING OR EDGING SHEETS OR LIKE ARTICLES; AUXILIARY APPARATUS FOR PERFORATING IN CONJUNCTION WITH PRINTING (perforating in general B26D ; production of decorations B44C ; perforating in conjunction with sheet or web delivery B65H 35/00 ; folding or unfolding thin material , e.g. sheets, webs, B65H 45/00 , B65H 47/00 )"
B41J,"TYPEWRITERS; SELECTIVE PRINTING MECHANISMS, i.e. MECHANISMS PRINTING OTHERWISE THAN FROM A FORME; CORRECTION OF TYPOGRAPHICAL ERRORS"
B41K,"STAMPS; STAMPING OR NUMBERING APPARATUS OR DEVICES (marking meat A22C 17/10 ; embossing combined with printing B41F 19/00 ; selective printing mechanisms B41J ; embossing decorations or marks B44B 5/00 ; marking or coding completed packages B65B 61/26 ; ticket printing and issuing, fare registering, non-printing aspects of franking apparatus G07B )"
B41L,"APPARATUS OR DEVICES FOR MANIFOLDING, DUPLICATING OR PRINTING FOR OFFICE OR OTHER COMMERCIAL PURPOSES; ADDRESSING MACHINES OR LIKE SERIES-PRINTING MACHINES (printing presses or machines for industrial purposes B41F ; stamps, stamping or numbering devices B41K )"
B41M,"PRINTING, DUPLICATING, MARKING, OR COPYING PROCESSES; COLOUR PRINTING (correction of typographical errors B41J ; processes for applying transfer pictures or the like B44C 1/16 ; fluid media for correction of typographical errors by coating C09D 10/00 ; printing textiles D06P )"
B41N,"PRINTING PLATES OR FOILS (photosensitive materials G03 ) ; MATERIALS FOR SURFACES USED IN PRINTING MACHINES FOR PRINTING, INKING, DAMPING, OR THE LIKE; PREPARING SUCH SURFACES FOR USE OR CONSERVING THEM"
B41D,Subject matter not provided for in other groups of this subclass [2006.01]
B42B,"PERMANENTLY ATTACHING TOGETHER SHEETS, QUIRES, OR SIGNATURES, OR PERMANENTLY ATTACHING OBJECTS THERETO (nailing or stapling in general B25C , B27F ; machines for both collating or gathering and permanently attaching together sheets or signatures B42C 1/12 ; temporarily attaching sheets together B42F )"
B42C,"BOOKBINDING (cutting or perforating machines, devices, or tools B26 ; folding sheets or webs B31F ; ornamenting books B44 )"
B42D,BOOKS; BOOK COVERS; LOOSE LEAVES; PRINTED MATTER CHARACTERISED BY IDENTIFICATION OR SECURITY FEATURES ; PRINTED MATTER OF SPECIAL FORMAT OR STYLE NOT OTHERWISE PROVIDED FOR; DEVICES FOR USE THEREWITH AND NOT OTHERWISE PROVIDED FOR; MOVABLE-STRIP WRITING OR READING APPARATUS
B42F,SHEETS TEMPORARILY ATTACHED TOGETHER; FILING APPLIANCES; FILE CARDS; INDEXING (reading desks A47B 19/00 ; book rests A47B 23/00 )
B43K,"IMPLEMENTS FOR WRITING OR DRAWING (containers, casings or accessories for cosmetic substances, e.g. shaving soap, lipstick, make-up, A45D 34/00 , A45D 40/00 )"
B43L,ARTICLES FOR WRITING OR DRAWING UPON; ACCESSORIES FOR WRITING OR DRAWING (workshop equipment for marking-out work B25H 7/00 ; teaching hand-writing or drawing G09B 11/00 )
B43M,"BUREAU ACCESSORIES NOT OTHERWISE PROVIDED FOR (stapling devices B25C , B27F ; devices for temporarily attaching sheets together B42F ; adhesive tape dispensers B65H 35/07 )"
B44B,"MACHINES, APPARATUS OR TOOLS FOR ARTISTIC WORK , e.g. FOR SCULPTURING, GUILLOCHING, CARVING, BRANDING OR INLAYING (ornamenting leather C14B )"
B44C,"PRODUCING DECORATIVE EFFECTS (processes for applying liquids or other fluent materials to surfaces, in general B05D ; shaping of plastics or substances in a plastic state B29C ; printing processes to produce transfer pictures B41M 3/12 ; thermographic duplication or marking methods B41M 5/00 ) ; MOSAICS; TARSIA WORK (imitation of mosaic or tarsia-work patterns B44F 11/04 ) ; PAPERHANGING [2]"
B44D,"PAINTING OR ARTISTIC DRAWING, NOT OTHERWISE PROVIDED FOR; PRESERVING PAINTINGS; SURFACE TREATMENT TO OBTAIN SPECIAL ARTISTIC SURFACE EFFECTS OR FINISHES (surface treatment in general, see the relevant places, e.g. applying liquids or other fluent materials B05 ) [2]"
B44F,SPECIAL DESIGNS OR PICTURES
B60B,"VEHICLE WHEELS (making wheels or wheel parts by rolling B21H 1/00 , by forging, hammering or pressing B21K 1/28 ) ; CASTORS; AXLES FOR WHEELS OR CASTORS; INCREASING WHEEL ADHESION"
B60C,VEHICLE TYRES; TYRE INFLATION; TYRE CHANGING; CONNECTING VALVES TO INFLATABLE ELASTIC BODIES IN GENERAL; DEVICES OR ARRANGEMENTS RELATED TO TYRES [5]
B60F,"VEHICLES FOR USE BOTH ON RAIL AND ON ROAD; VEHICLES CAPABLE OF TRAVELLING IN OR ON DIFFERENT MEDIA, e.g. AMPHIBIOUS VEHICLES (air-cushion vehicles B60V )"
B60G,VEHICLE SUSPENSION ARRANGEMENTS (air-cushion vehicles B60V ; connections between vehicle bodies and vehicle frames B62D 24/00 ) [5]
B60J,"WINDOWS, WINDSCREENS, NON-FIXED ROOFS, DOORS, OR SIMILAR DEVICES FOR VEHICLES; REMOVABLE EXTERNAL PROTECTIVE COVERINGS SPECIALLY ADAPTED FOR VEHICLES (fastening, suspending, closing, or opening of such devices E05 )"
B60K,"ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES; ARRANGEMENT OR MOUNTING OF PLURAL DIVERSE PRIME-MOVERS IN VEHICLES; AUXILIARY DRIVES FOR VEHICLES; INSTRUMENTATION OR DASHBOARDS FOR VEHICLES; ARRANGEMENTS IN CONNECTION WITH COOLING, AIR INTAKE, GAS EXHAUST OR FUEL SUPPLY OF PROPULSION UNITS IN VEHICLES [2006.01]"
B60M,"POWER SUPPLY LINES, OR DEVICES ALONG RAILS, FOR ELECTRICALLY-PROPELLED VEHICLES ( control of points or safety arrangements along railway lines B61L ; construction of rails or points in general E01B )"
B60Q,"ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES, THE MOUNTING OR SUPPORTING THEREOF OR CIRCUITS THEREFOR, FOR VEHICLES IN GENERAL [4]"
B60R,"VEHICLES , VEHICLE FITTINGS, OR VEHICLE PARTS, NOT OTHERWISE PROVIDED FOR (fire prevention, containment or extinguishing specially adapted for vehicles A62C 3/07 )"
B60S,"SERVICING, CLEANING, REPAIRING, SUPPORTING, LIFTING, OR MANOEUVRING OF VEHICLES, NOT OTHERWISE PROVIDED FOR"
B60V,AIR-CUSHION VEHICLES
B60W,CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION; CONTROL SYSTEMS SPECIALLY ADAPTED FOR HYBRID VEHICLES ; ROAD VEHICLE DRIVE CONTROL SYSTEMS FOR PURPOSES NOT RELATED TO THE CONTROL OF A PARTICULAR SUB-UNIT [2006.01]
B60D,Subject matter not provided for in other groups of this subclass [2009.01]
B60H,Other air- treating devices [2006.01]
B60N,Subject matter not provided for in other groups of this subclass [2006.01]
B60P,Other vehicles predominantly for carrying loads [2006.01]
B60T,Brake control systems or parts thereof
B61B,"RAILWAY SYSTEMS; EQUIPMENT THEREFOR NOT OTHERWISE PROVIDED FOR (lifts or hoists, elevators, escalators, moving walkways B66B ) [4]"
B61C,"LOCOMOTIVES; MOTOR RAILCARS (vehicles in general B60 ; frames or bogies B61F ; special railroad equipment for locomotives B61J , B61K )"
B61D,BODY DETAILS OR KINDS OF RAILWAY VEHICLES (vehicles in general B60 ; adaptation of vehicles to special systems B61B ; underframes B61F )
B61F,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES; RAIL VEHICLES FOR USE ON TRACKS OF DIFFERENT WIDTH; PREVENTING DERAILING OF RAIL VEHICLES; WHEEL GUARDS, OBSTRUCTION REMOVERS OR THE LIKE FOR RAIL VEHICLES (for vehicles in general B60 ; axles or wheels B60B ; vehicle tyres B60C )"
B61G,COUPLINGS SPECIALLY ADAPTED FOR RAILWAY VEHICLES; DRAUGHT OR BUFFING APPLIANCES SPECIALLY ADAPTED FOR RAILWAY VEHICLES
B61H,"BRAKES OR OTHER RETARDING DEVICES SPECIALLY ADAPTED FOR RAIL VEHICLES; ARRANGEMENT OR DISPOSITION THEREOF IN RAIL VEHICLES (electrodynamic braking of vehicles B60L , in general H02K ; arrangements in rail vehicles for adjusting wheel-braking force to meet varying vehicular or permanent-way conditions B60T 8/00 ; transmitting braking action from initiating means to ultimate brake actuator with power assistance or drive, brake systems incorporating such transmitting means, e.g. air-pressure brake systems, B60T 13/00 ; construction, arrangement or operation of valves incorporated in power brake systems B60T 15/00 ; component parts, details or accessories of brake systems B60T 17/00 ; brakes in general F16D )"
B61J,SHIFTING OR SHUNTING OF RAIL VEHICLES (shifting vehicles in general B60S ; marshalling systems B61B )
B61K,"AUXILIARY EQUIPMENT SPECIALLY ADAPTED FOR RAILWAYS, NOT OTHERWISE PROVIDED FOR (energy-storing brakes B61H ; protection of permanent way against weather influences E01B ; rail cleaning, snow ploughs E01H )"
B61L,"GUIDING RAILWAY TRAFFIC; ENSURING THE SAFETY OF RAILWAY TRAFFIC (brakes or auxiliary equipment B61H , B61K ; point or crossing construction E01B )"
B62B,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS OR PERAMBULATORS; SLEDGES (characterised by animal propulsion B62C ; propulsion of sledges by driver or engine B62M )"
B62C,VEHICLES DRAWN BY ANIMALS
B62J,"CYCLE SADDLES OR SEATS; AUXILIARY DEVICES OR ACCESSORIES SPECIALLY ADAPTED TO CYCLES AND NOT OTHERWISE PROVIDED FOR, e.g. ARTICLE CARRIERS OR CYCLE PROTECTORS"
B62K,"CYCLES; CYCLE FRAMES; CYCLE STEERING DEVICES; RIDER-OPERATED TERMINAL CONTROLS SPECIALLY ADAPTED FOR CYCLES; CYCLE AXLE SUSPENSIONS; CYCLE SIDECARS, FORECARS, OR THE LIKE"
B62L,BRAKES SPECIALLY ADAPTED FOR CYCLES
B62M,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES; POWERED PROPULSION OF SLEDGES OR CYCLES; TRANSMISSIONS SPECIALLY ADAPTED FOR SUCH VEHICLES (arrangements or mounting of transmissions in vehicles in general B60K ; transmission elements per se F16 )
B62H,"Devices for learning to ride cycles, not otherwise provided for, e.g. assisting balance [2006.01]"
B63B,"SHIPS OR OTHER WATERBORNE VESSELS; EQUIPMENT FOR SHIPPING ( arrangements of vessel ventilation, heating, cooling, or air-conditioning B63J 2/00 ; floating substructures as supports of dredgers or soil-shifting machines E02F 9/06 ) [2]"
B63C,"LAUNCHING, HAULING-OUT, OR DRY-DOCKING OF VESSELS; LIFE-SAVING IN WATER; EQUIPMENT FOR DWELLING OR WORKING UNDER WATER; MEANS FOR SALVAGING OR SEARCHING FOR UNDERWATER OBJECTS (floating nets, floating slipways, or the like for recovering aircraft from the water B63B 35/52 )"
B63G,"OFFENSIVE OR DEFENSIVE ARRANGEMENTS ON VESSELS; MINE-LAYING; MINE-SWEEPING; SUBMARINES; AIRCRAFT CARRIERS (means of attack or defence in general, e.g. turrets, F41H )"
B63H,"MARINE PROPULSION OR STEERING (propulsion of air-cushion vehicles B60V 1/14 ; specially adapted for submarines, other than nuclear propulsion, B63G ; specially adapted for torpedoes F42B 19/00 )"
B63J,AUXILIARIES ON VESSELS
B64B,LIGHTER-THAN-AIR AIRCRAFT (ground installations for aircraft in general B64F )
B64C,AEROPLANES; HELICOPTERS
B64D,EQUIPMENT FOR FITTING IN OR TO AIRCRAFT; FLIGHT SUITS; PARACHUTES; ARRANGEMENT OR MOUNTING OF POWER PLANTS OR PROPULSION TRANSMISSIONS IN AIRCRAFT
B64F,"GROUND OR AIRCRAFT-CARRIER-DECK INSTALLATIONS SPECIALLY ADAPTED FOR USE IN CONNECTION WITH AIRCRAFT; DESIGNING, MANUFACTURING, ASSEMBLING, CLEANING, MAINTAINING OR REPAIRING AIRCRAFT, NOT OTHERWISE PROVIDED FOR; HANDLING , TRANSPORTING, TESTING OR INSPECTING AIRCRAFT COMPONENTS, NOT OTHERWISE PROVIDED FOR"
B64G,COSMONAUTICS; VEHICLES OR EQUIPMENT THEREFOR
B64U,UNMANNED AERIAL VEHICLES [UAV]; EQUIPMENT THEREFOR [2023.01]
B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS , e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS; ACCESSORIES , CLOSURES, OR FITTINGS THEREFOR; PACKAGING ELEMENTS ; PACKAGES"
B65H,"HANDLING THIN OR FILAMENTARY MATERIAL , e.g. SHEETS, WEBS, CABLES"
B65C,"LABELLING OR TAGGING MACHINES, APPARATUS , OR PROCESSES (nailing or stapling in general B25C , B27F ; processes for applying decalcomanias B44C 1/16 ; applying labels for packaging purposes B65B ; labels, name-plates G09F )"
B66B,"ELEVATORS; ESCALATORS OR MOVING WALKWAYS (life-saving devices used as an alternative to normal egress means, e.g. stairs, during rescue to lower persons in cages, bags, or similar supports from buildings or other structures A62B 1/02 ; equipment for handling freight or for facilitating passenger embarkation or the like to aircraft B64D 9/00 ; braking or detent devices characterised by their application to lifting or hoisting gear B66D 5/00 ) [4]"
B66C,"CRANES; LOAD-ENGAGING ELEMENTS OR DEVICES FOR CRANES, CAPSTANS, WINCHES, OR TACKLES (rope, cable, or chain winding mechanisms, braking or detent devices therefor B66D ; specially adapted for nuclear reactors G21 )"
B66D,"CAPSTANS; WINCHES; TACKLES, e.g. PULLEY BLOCKS; HOISTS (winding or unwinding ropes or cables for feeding or storage purposes B65H ; rope or cable-winding or unwinding mechanisms for lifts B66B ; hoisting devices specially adapted for suspended scaffolds E04G 3/32 )"
B66F,"HOISTING, LIFTING, HAULING, OR PUSHING, NOT OTHERWISE PROVIDED FOR, e.g. DEVICES WHICH APPLY A LIFTING OR PUSHING FORCE DIRECTLY TO THE SURFACE OF A LOAD (mounting artificial islands on piles or like supports E02B 17/00 ; scaffolds combined with lifting devices E04G 1/22 , E04G 3/28 ; lifting devices for sliding forms E04G 11/24 ; lifting of buildings E04G 23/06 ; shores or struts E04G 25/00 ; lifts or other hoisting devices on ladders E06C 7/12 ; props for mining E21D 15/00 )"
B67B,"APPLYING CLOSURE MEMBERS TO BOTTLES, JARS, OR SIMILAR CONTAINERS; OPENING CLOSED CONTAINERS (opening or closing devices attached to, or incorporated in, containers or container closures B65D )"
B67C,"FILLING WITH LIQUIDS OR SEMILIQUIDS, OR EMPTYING, OF BOTTLES, JARS, CANS, CASKS, BARRELS, OR SIMILAR CONTAINERS, NOT OTHERWISE PROVIDED FOR; FUNNELS"
B67D,"DISPENSING, DELIVERING, OR TRANSFERRING LIQUIDS, NOT OTHERWISE PROVIDED FOR (cleaning pipes or tubes or systems of pipes or tubes B08B 9/02 ; emptying or filling of bottles, jars, cans, casks, barrels, or similar containers, not otherwise provided for B67C ; water supply E03 ; pipe systems F17D ; domestic hot-water supply systems F24D ; measuring volume, volume flow, mass flow or liquid level, metering by volume G01F ; coin-freed or like apparatus G07F ) [5]"
B68B,HARNESS; DEVICES USED IN CONNECTION THEREWITH; WHIPS OR THE LIKE
B68C,HARNESS; DEVICES USED IN CONNECTION THEREWITH; WHIPS OR THE LIKE
B68F,SADDLES; STIRRUPS
B68G,"METHODS, EQUIPMENT, OR MACHINES FOR USE IN UPHOLSTERING; UPHOLSTERY NOT OTHERWISE PROVIDED FOR"
B81B,"MICROSTRUCTURAL DEVICES OR SYSTEMS, e.g. MICROMECHANICAL DEVICES (piezoelectric, electrostrictive or magnetostrictive elements per se H10N 30/00 , H10N 35/00 ) [7]"
B81C,"PROCESSES OR APPARATUS SPECIALLY ADAPTED FOR THE MANUFACTURE OR TREATMENT OF MICROSTRUCTURAL DEVICES OR SYSTEMS (making microcapsules or microballoons B01J 13/02 ; processes or apparatus specially adapted for the manufacture or treatment of piezoelectric, electrostrictive or magnetostrictive elements per se H10N 30/01 ) [7]"
B82B,"NANOSTRUCTURES FORMED BY MANIPULATION OF INDIVIDUAL ATOMS, MOLECULES, OR LIMITED COLLECTIONS OF ATOMS OR MOLECULES AS DISCRETE UNITS; MANUFACTURE OR TREATMENT THEREOF [7]"
B82Y,SPECIFIC USES OR APPLICATIONS OF NANOSTRUCTURES; MEASUREMENT OR ANALYSIS OF NANOSTRUCTURES; MANUFACTURE  OR TREATMENT OF NANOSTRUCTURES [2011.01]
B99Z,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION [2006.01]
C01B,NON-METALLIC ELEMENTS; COMPOUNDS THEREOF (fermentation or enzyme-using processes for the preparation of elements or inorganic compounds except carbon dioxide C12P 3/00 ; production of non-metallic elements or inorganic compounds by electrolysis or electrophoresis C25B )
C01C,Cyanogen; Compounds thereof [2006.01]
C01D,"Rubidium, caesium, or francium compounds [2006.01]"
C01G,Subject matter not provided for in other groups of this subclass [2010.01]
C03B,"MANUFACTURE OR SHAPING OF GLASS, OR OF MINERAL OR SLAG WOOL ; SUPPLEMENTARY PROCESSES IN THE MANUFACTURE OR SHAPING OF GLASS, OR OF MINERAL OR SLAG WOOL (surface treatment C03C )"
C03C,"CHEMICAL COMPOSITION OF GLASSES, GLAZES OR VITREOUS ENAMELS ; SURFACE TREATMENT OF GLASS ; SURFACE TREATMENT OF FIBRES OR FILAMENTS MADE FROM GLASS , MINERALS OR SLAGS ; JOINING GLASS TO GLASS OR OTHER MATERIALS"
C04B,"LIME; MAGNESIA; SLAG; CEMENTS ; COMPOSITIONS THEREOF, e.g. MORTARS, CONCRETE OR LIKE BUILDING MATERIALS ; ARTIFICIAL STONE; CERAMICS (devitrified glass- ceramics C03C 10/00 ) ; REFRACTORIES (alloys based on refractory metals C22C ) ; TREATMENT OF NATURAL STONE [4]"
C05B,PHOSPHATIC FERTILISERS
C05C,NITROGENOUS FERTILISERS
C05D,NITROGENOUS FERTILISERS
C05F,"ORGANIC FERTILISERS NOT COVERED BY SUBCLASSES C05B , C05C , e.g. FERTILISERS FROM WASTE OR REFUSE"
C05G,"MIXTURES OF FERTILISERS COVERED INDIVIDUALLY BY DIFFERENT SUBCLASSES OF CLASS C05 ; MIXTURES OF ONE OR MORE FERTILISERS WITH ADDITIVES NOT HAVING A SPECIFIC FERTILISING ACTIVITY (organic fertilisers containing added bacterial cultures, mycelia or the like C05F 11/08 ; organic fertilisers containing plant vitamins or hormones C05F 11/10 ) ; FERTILISERS CHARACTERISED BY THEIR FORM [4]"
C06B,EXPLOSIVE OR THERMIC COMPOSITIONS (blasting F42D ) ; MANUFACTURE THEREOF; USE OF SINGLE SUBSTANCES AS EXPLOSIVES [2]
C06C,DETONATING OR PRIMING DEVICES; FUSES; CHEMICAL LIGHTERS; PYROPHORIC COMPOSITIONS [2]
C06D,MEANS FOR GENERATING SMOKE OR MIST; GAS-ATTACK COMPOSITIONS; GENERATION OF GAS FOR BLASTING OR PROPULSION (CHEMICAL PART) [2]
C06F,MATCHES; MANUFACTURE OF MATCHES
C07B,"GENERAL METHODS OF ORGANIC CHEMISTRY; APPARATUS THEREFOR ( preparation of carboxylic acid esters by telomerisation C07C 67/47 ; processes for preparing macromolecular compounds, e.g. telomerisation C08F , C08G )"
C07C,"ACYCLIC OR CARBOCYCLIC COMPOUNDS (macromolecular compounds C08 ; production of organic compounds by electrolysis or electrophoresis C25B 3/00 , C25B 7/00 )"
C07D,HETEROCYCLIC COMPOUNDS (macromolecular compounds C08 ) [2]
C07F,"ACYCLIC, CARBOCYCLIC, OR HETEROCYCLIC COMPOUNDS CONTAINING ELEMENTS OTHER THAN CARBON, HYDROGEN, HALOGEN, OXYGEN, NITROGEN, SULFUR, SELENIUM OR TELLURIUM (metal-containing porphyrins C07D 487/22 ; macromolecular compounds C08 )"
C07G,"COMPOUNDS OF UNKNOWN CONSTITUTION (sulfonated fats, oils or waxes of undetermined constution C07C 309/62 )"
C07J,STEROIDS ( seco-steroids C07C ) [2]
C07H,Subject matter not provided for in other groups of this subclass [2006.01]
C08B,POLYSACCHARIDES; DERIVATIVES THEREOF (polysaccharides containing less than six saccharide radicals attached to each other by glycosidic linkages C07H ; fermentation or enzyme-using processes C12P 19/00 ; production of cellulose D21 ) [4]
C08C,TREATMENT OR CHEMICAL MODIFICATION OF RUBBERS
C08F,"MACROMOLECULAR COMPOUNDS OBTAINED BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS (production of liquid hydrocarbon mixtures from lower carbon number hydrocarbons, e.g. by oligomerisation, C10G 50/00 ; fermentation or enzyme-using processes to synthesise a desired chemical compound or composition or to separate optical isomers from a racemic mixture C12P ; graft polymerisation of monomers containing carbon-to-carbon unsaturated bonds on to fibres, threads, yarns, fabrics or fibrous goods made from such materials D06M 14/00 ) [2]"
C08G,MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS (fermentation or enzyme-using processes to synthesise a desired chemical compound or composition or to separate optical isomers from a racemic mixture C12P ) [2]
C08H,"DERIVATIVES OF NATURAL MACROMOLECULAR COMPOUNDS (polysaccharides C08B ; natural rubber C08C ; natural resins or their derivatives C09F ; working up pitch, asphalt or bitumen C10C 3/00 )"
C08J,"WORKING-UP ; GENERAL PROCESSES OF COMPOUNDING; AFTER- TREATMENT NOT COVERED BY SUBCLASSES C08B , C08C , C08F , C08G or C08H (working, e.g. shaping, of plastics B29 ) [2]"
C08K,"USE OF INORGANIC OR NON-MACROMOLECULAR ORGANIC SUBSTANCES AS COMPOUNDING INGREDIENTS (paints, inks, varnishes, dyes, polishes, adhesives C09 ) [2]"
C08L,"COMPOSITIONS OF MACROMOLECULAR COMPOUNDS (compositions based on polymerisable monomers C08F , C08G ; artificial filaments or fibres D01F ; textile treating compositions D06 ) [2]"
C09B,ORGANIC DYES OR CLOSELY-RELATED COMPOUNDS FOR PRODUCING DYES ; MORDANTS ; LAKES (fermentation or enzyme-using processes to synthesise a desired chemical compound C12P )
C09F,"NATURAL RESINS ; FRENCH POLISH; DRYING-OILS ; OIL DRYING AGENTS, i.e. SICCATIVES ; TURPENTINE"
C09G,POLISHING COMPOSITIONS (French polish C09F 11/00 ) ; SKI WAXES
C09H,PREPARATION OF GLUE OR GELATINE
C09J,ADHESIVES; NON-MECHANICAL ASPECTS OF ADHESIVE PROCESSES IN GENERAL; ADHESIVE PROCESSES NOT PROVIDED FOR ELSEWHERE; USE OF MATERIALS AS ADHESIVES ( preparation of glue or gelatine C09H ) [5]
C09K,MATERIALS FOR APPLICATIONS NOT OTHERWISE PROVIDED FOR; APPLICATIONS OF MATERIALS NOT OTHERWISE PROVIDED FOR
C09C,"TREATMENT OF INORGANIC MATERIALS , OTHER THAN FIBROUS FILLERS, TO ENHANCE THEIR PIGMENTING OR FILLING PROPERTIES ( treatment of materials specially adapted to enhance their filling properties in mortars, concrete or artificial stone C04B 14/00 , C04B 18/00 , C04B 20/00 ) ; PREPARATION OF CARBON BLACK [4]"
C09D,Coating compositions based on unspecified macromolecular compounds [2006.01]
C10B,"DESTRUCTIVE DISTILLATION OF CARBONACEOUS MATERIALS FOR PRODUCTION OF GAS, COKE , TAR, OR SIMILAR MATERIALS (cracking oils C10G ; underground gasification of minerals E21B 43/295 ) [5]"
C10C,"WORKING-UP TAR , PITCH , ASPHALT , BITUMEN ; PYROLIGNEOUS ACID"
C10F,DRYING OR WORKING-UP OF PEAT [5]
C10G,"CRACKING HYDROCARBON OILS; PRODUCTION OF LIQUID HYDROCARBON MIXTURES, e.g. BY DESTRUCTIVE HYDROGENATION, OLIGOMERISATION, POLYMERISATION ( cracking to hydrogen or synthesis gas C01B ; cracking or pyrolysis of hydrocarbon gases to individual hydrocarbons or mixtures thereof of definite or specified constitution C07C ; cracking to cokes C10B ) ; RECOVERY OF HYDROCARBON OILS FROM OIL-SHALE, OIL-SAND, OR GASES; REFINING MIXTURES MAINLY CONSISTING OF HYDROCARBONS; REFORMING OF NAPHTHA; MINERAL WAXES [6]"
C10H,PRODUCTION OF ACETYLENE BY WET METHODS [5]
C10J,PRODUCTION OF GASES CONTAINING CARBON MONOXIDE AND HYDROGEN FROM SOLID CARBONACEOUS MATERIALS BY PARTIAL OXIDATION PROCESSES INVOLVING OXYGEN OR STEAM (underground gasification of minerals E21B 43/295 ) ; CARBURETTING AIR OR OTHER GASES [5]
C10K,PURIFYING OR MODIFYING THE CHEMICAL COMPOSITION OF COMBUSTIBLE GASES CONTAINING CARBON MONOXIDE
C10L,FUELS NOT OTHERWISE PROVIDED FOR; NATURAL GAS; SYNTHETIC NATURAL GAS OBTAINED BY PROCESSES NOT COVERED BY SUBCLASSES C10G OR C10K ; LIQUEFIED PETROLEUM GAS; USE OF ADDITIVES TO FUELS OR FIRES; FIRE-LIGHTERS [5]
C10N,INDEXING SCHEME ASSOCIATED WITH SUBCLASS C10M [4]
C11B,"PRODUCING, e.g. BY PRESSING RAW MATERIALS OR BY EXTRACTION FROM WASTE MATERIALS , REFINING OR PRESERVING FATS, FATTY SUBSTANCES, e.g. LANOLIN, FATTY OILS OR WAXES; ESSENTIAL OILS ; PERFUMES (drying-oils C09F )"
C11C,"FATTY ACIDS OBTAINED FROM FATS , OILS OR WAXES ; CANDLES; FATS , OILS OR FATTY ACIDS OBTAINED BY CHEMICAL MODIFICATION OF FATS , OILS OR FATTY ACIDS"
C11D,DETERGENT COMPOSITIONS; USE OF SINGLE SUBSTANCES AS DETERGENTS ; SOAP OR SOAP -MAKING; RESIN SOAPS ; RECOVERY OF GLYCEROL
C12F,RECOVERY OF BY- PRODUCTS OF FERMENTED SOLUTIONS (removal of yeast from wine or sparkling wine C12G 1/08 ) ; DENATURED ALCOHOL ; PREPARATION THEREOF [6]
C12G,WINE ; PREPARATION THEREOF; ALCOHOLIC BEVERAGES (beer C12C ) ; PREPARATION OF ALCOHOLIC BEVERAGES NOT PROVIDED FOR IN SUBCLASSES C12C OR C12H
